-0.214347
Printing tensor VKLJ04
[0][2][4][0](390, <-1.72427E-18>)
[1][2][4][0](391, <-2.55273E-17>)
[2][2][4][0](392, <-5.35174E-18>)
[3][2][4][0](393, <-4.25020E-17>)
[4][2][4][0](394, <1.72358E-14>)
[0][3][4][0](395, <3.46534E-17>)
[1][3][4][0](396, <1.32644E-16>)
[2][3][4][0](397, <-8.94419E-17>)
[3][3][4][0](398, <-3.09437E-18>)
[4][3][4][0](399, <-1.04443E-01>)
[0][4][4][0](400, <1.21053E-15>)
[1][4][4][0](401, <5.37042E-15>)
[2][4][4][0](402, <7.67361E-17>)
[3][4][4][0](403, <-2.97063E-16>)
[4][4][4][0](404, <4.68735E-02>)
[0][5][4][0](405, <-8.56407E-03>)
[1][5][4][0](406, <-3.79074E-02>)
[2][5][4][0](407, <6.06230E-16>)
[3][5][4][0](408, <1.98579E-03>)
[4][5][4][0](409, <6.24588E-15>)
[0][6][4][0](410, <-2.09367E-16>)
[1][6][4][0](411, <-8.97283E-16>)
[2][6][4][0](412, <-9.34808E-18>)
[3][6][4][0](413, <8.19688E-17>)
[4][6][4][0](414, <3.18116E-15>)
[0][7][4][0](415, <-1.41710E-16>)
[1][7][4][0](416, <-4.08366E-16>)
[2][7][4][0](417, <-3.62133E-03>)
[3][7][4][0](418, <3.80405E-16>)
[4][7][4][0](419, <3.17145E-16>)
[0][8][4][0](420, <-2.77661E-17>)
[1][8][4][0](421, <-1.40097E-16>)
[2][8][4][0](422, <-9.91872E-17>)
[3][8][4][0](423, <2.57036E-19>)
[4][8][4][0](424, <-2.70567E-02>)
[0][9][4][0](425, <-2.79963E-03>)
[1][9][4][0](426, <-8.92072E-03>)
[2][9][4][0](427, <-1.06434E-16>)
[3][9][4][0](428, <4.10136E-03>)
[4][9][4][0](429, <-4.13848E-16>)
[0][10][4][0](430, <6.32811E-17>)
[1][10][4][0](431, <2.42303E-16>)
[2][10][4][0](432, <7.61858E-18>)
[3][10][4][0](433, <-5.72381E-17>)
[4][10][4][0](434, <3.68565E-17>)
[0][11][4][0](435, <3.94688E-17>)
[1][11][4][0](436, <1.29247E-16>)
[2][11][4][0](437, <-1.49529E-16>)
[3][11][4][0](438, <-2.53147E-17>)
[4][11][4][0](439, <-8.50039E-02>)
[0][12][4][0](440, <1.39678E-17>)
[1][12][4][0](441, <1.10255E-16>)
[2][12][4][0](442, <2.43984E-17>)
[3][12][4][0](443, <4.28058E-17>)
[4][12][4][0](444, <-1.07606E-14>)
[0][13][4][0](445, <-8.80664E-18>)
[1][13][4][0](446, <-1.99954E-17>)
[2][13][4][0](447, <1.68544E-16>)
[3][13][4][0](448, <8.29911E-18>)
[4][13][4][0](449, <5.33691E-02>)
[0][14][4][0](450, <-8.17352E-03>)
[1][14][4][0](451, <-3.96542E-02>)
[2][14][4][0](452, <1.52932E-17>)
[3][14][4][0](453, <-2.41475E-03>)
[4][14][4][0](454, <-1.50261E-16>)
[0][15][4][0](455, <6.76780E-16>)
[1][15][4][0](456, <3.14056E-15>)
[2][15][4][0](457, <-1.15654E-02>)
[3][15][4][0](458, <-5.38181E-16>)
[4][15][4][0](459, <2.32285E-17>)
[0][16][4][0](460, <2.51908E-17>)
[1][16][4][0](461, <1.06899E-16>)
[2][16][4][0](462, <-1.16067E-17>)
[3][16][4][0](463, <-1.02082E-17>)
[4][16][4][0](464, <-4.48471E-03>)
[0][17][4][0](465, <-2.09822E-17>)
[1][17][4][0](466, <-7.83338E-17>)
[2][17][4][0](467, <5.10591E-17>)
[3][17][4][0](468, <1.14151E-17>)
[4][17][4][0](469, <1.38484E-02>)
[0][18][4][0](470, <-4.89331E-17>)
[1][18][4][0](471, <-2.35359E-16>)
[2][18][4][0](472, <9.17332E-18>)
[3][18][4][0](473, <-2.71567E-17>)
[4][18][4][0](474, <-1.45673E-15>)
[0][0][0][1](475, <-3.26634E-15>)
[1][0][0][1](476, <4.20940E-17>)
[2][0][0][1](477, <4.84466E-03>)
[3][0][0][1](478, <1.49118E-16>)
[4][0][0][1](479, <-1.47487E-17>)
[0][1][0][1](480, <4.56474E-01>)
[1][1][0][1](481, <-3.06281E-03>)
[2][1][0][1](482, <3.60418E-16>)
[3][1][0][1](483, <1.68609E-03>)
[4][1][0][1](484, <-1.32893E-17>)
[0][2][0][1](485, <1.89967E-01>)
[1][2][0][1](486, <-2.72926E-03>)
[2][2][0][1](487, <4.45453E-16>)
[3][2][0][1](488, <-4.48185E-04>)
[4][2][0][1](489, <-9.45321E-18>)
[0][3][0][1](490, <2.62865E-14>)
[1][3][0][1](491, <-2.93949E-16>)
[2][3][0][1](492, <-1.85686E-03>)
[3][3][0][1](493, <-3.37041E-16>)
[4][3][0][1](494, <6.84851E-18>)
[0][4][0][1](495, <-1.88849E-14>)
[1][4][0][1](496, <4.75325E-16>)
[2][4][0][1](497, <-4.34068E-04>)
[3][4][0][1](498, <-4.98433E-18>)
[4][4][0][1](499, <4.13960E-18>)
[0][5][0][1](500, <6.40719E-15>)
[1][5][0][1](501, <-1.57488E-16>)
[2][5][0][1](502, <-5.95681E-17>)
[3][5][0][1](503, <7.80823E-17>)
[4][5][0][1](504, <-3.93777E-16>)
[0][6][0][1](505, <-2.44802E-01>)
[1][6][0][1](506, <5.92823E-03>)
[2][6][0][1](507, <-1.73325E-16>)
[3][6][0][1](508, <-3.13065E-03>)
[4][6][0][1](509, <1.85105E-18>)
[0][7][0][1](510, <2.01892E-17>)
[1][7][0][1](511, <5.38504E-19>)
[2][7][0][1](512, <5.21324E-17>)
[3][7][0][1](513, <-2.15847E-18>)
[4][7][0][1](514, <1.91792E-03>)
[0][8][0][1](515, <9.20605E-16>)
[1][8][0][1](516, <-3.82528E-17>)
[2][8][0][1](517, <-4.79937E-03>)
[3][8][0][1](518, <9.82791E-17>)
[4][8][0][1](519, <3.36389E-17>)
[0][9][0][1](520, <-2.75769E-16>)
[1][9][0][1](521, <-2.74989E-18>)
[2][9][0][1](522, <-3.25265E-17>)
[3][9][0][1](523, <1.49769E-17>)
[4][9][0][1](524, <-1.08320E-16>)
[0][10][0][1](525, <2.68705E-02>)
[1][10][0][1](526, <-8.22860E-04>)
[2][10][0][1](527, <7.41353E-17>)
[3][10][0][1](528, <1.86447E-03>)
[4][10][0][1](529, <1.13142E-17>)
[0][11][0][1](530, <-2.05428E-14>)
[1][11][0][1](531, <5.25765E-16>)
[2][11][0][1](532, <-6.47086E-03>)
[3][11][0][1](533, <-1.98817E-16>)
[4][11][0][1](534, <1.29337E-17>)
[0][12][0][1](535, <1.65166E-01>)
[1][12][0][1](536, <-5.27836E-03>)
[2][12][0][1](537, <-1.79670E-16>)
[3][12][0][1](538, <-2.45333E-03>)
[4][12][0][1](539, <7.92639E-18>)
[0][13][0][1](540, <1.15625E-14>)
[1][13][0][1](541, <-3.86335E-16>)
[2][13][0][1](542, <-1.52911E-03>)
[3][13][0][1](543, <1.91644E-17>)
[4][13][0][1](544, <-3.32438E-18>)
[0][14][0][1](545, <-5.43622E-17>)
[1][14][0][1](546, <3.02262E-18>)
[2][14][0][1](547, <-2.15765E-17>)
[3][14][0][1](548, <-1.64291E-17>)
[4][14][0][1](549, <-3.27658E-16>)
[0][15][0][1](550, <7.58018E-16>)
[1][15][0][1](551, <-1.90296E-17>)
[2][15][0][1](552, <-4.78903E-17>)
[3][15][0][1](553, <1.02399E-17>)
[4][15][0][1](554, <-1.17071E-02>)
[0][16][0][1](555, <-1.28866E-16>)
[1][16][0][1](556, <1.66356E-17>)
[2][16][0][1](557, <-7.07859E-03>)
[3][16][0][1](558, <1.75068E-16>)
[4][16][0][1](559, <3.16676E-17>)
[0][17][0][1](560, <3.24662E-16>)
[1][17][0][1](561, <1.48086E-17>)
[2][17][0][1](562, <-7.00896E-03>)
[3][17][0][1](563, <4.64952E-16>)
[4][17][0][1](564, <3.62189E-18>)
[0][18][0][1](565, <2.67774E-02>)
[1][18][0][1](566, <-3.34876E-04>)
[2][18][0][1](567, <4.93898E-16>)
[3][18][0][1](568, <9.76816E-03>)
[4][18][0][1](569, <8.42874E-18>)
[0][0][1][1](570, <4.20940E-17>)
[1][0][1][1](571, <-1.20072E-15>)
[2][0][1][1](572, <4.99413E-02>)
[3][0][1][1](573, <6.96283E-16>)
[4][0][1][1](574, <-1.38367E-16>)
[0][1][1][1](575, <-3.06281E-03>)
[1][1][1][1](576, <3.77012E-01>)
[2][1][1][1](577, <4.12572E-15>)
[3][1][1][1](578, <5.14634E-03>)
[4][1][1][1](579, <-1.56458E-17>)
[0][2][1][1](580, <-2.72926E-03>)
[1][2][1][1](581, <1.21646E-01>)
[2][2][1][1](582, <4.39383E-15>)
[3][2][1][1](583, <-9.81326E-03>)
[4][2][1][1](584, <-1.16414E-17>)
[0][3][1][1](585, <-2.93949E-16>)
[1][3][1][1](586, <1.84460E-14>)
[2][3][1][1](587, <-1.82671E-02>)
[3][3][1][1](588, <-1.99195E-15>)
[4][3][1][1](589, <6.26199E-17>)
[0][4][1][1](590, <4.75325E-16>)
[1][4][1][1](591, <-8.30486E-15>)
[2][4][1][1](592, <7.30106E-03>)
[3][4][1][1](593, <1.35189E-15>)
[4][4][1][1](594, <-3.77301E-18>)
[0][5][1][1](595, <-1.57488E-16>)
[1][5][1][1](596, <2.90962E-15>)
[2][5][1][1](597, <1.04235E-15>)
[3][5][1][1](598, <-6.59633E-17>)
[4][5][1][1](599, <-1.92598E-15>)
[0][6][1][1](600, <5.92823E-03>)
[1][6][1][1](601, <-1.12058E-01>)
[2][6][1][1](602, <-1.62736E-15>)
[3][6][1][1](603, <2.86907E-03>)
[4][6][1][1](604, <-3.77756E-17>)
[0][7][1][1](605, <5.38504E-19>)
[1][7][1][1](606, <4.53446E-17>)
[2][7][1][1](607, <1.42425E-16>)
[3][7][1][1](608, <-4.47746E-18>)
[4][7][1][1](609, <3.26110E-03>)
[0][8][1][1](610, <-3.82528E-17>)
[1][8][1][1](611, <-1.55038E-16>)
[2][8][1][1](612, <-1.48798E-02>)
[3][8][1][1](613, <1.34806E-16>)
[4][8][1][1](614, <7.69585E-17>)
[0][9][1][1](615, <-2.74989E-18>)
[1][9][1][1](616, <-2.18865E-16>)
[2][9][1][1](617, <-4.93297E-17>)
[3][9][1][1](618, <1.99058E-16>)
